보험가입연도,계약자_업종,계약자_소재지,계약자_기업규모,계약자_업력,취급종류,보험금액
2011,C25112,대구,중소기업, 22 ,어음보험,20000000 
2011,C25112,대구,중소기업, 22 ,어음보험,20000000 
2011,C25112,대구,중소기업, 22 ,어음보험,20000000 
2011,G45219,강원,중소기업, 11 ,어음보험,7000000 
2011,G45219,강원,중소기업, 11 ,어음보험,7000000 
2011,C25913,경기,중소기업, 12 ,어음보험,58000000 
2011,C25923,경기,중소기업, 14 ,어음보험,10000000 
2011,G46733,서울,중소기업, 6 ,어음보험,7000000 
2011,G46621,경기,중소기업, 7 ,어음보험,82000000 
2011,G46721,경기,중소기업, 4 ,매출채권보험,556000000 
2011,G46721,경기,중소기업, 4 ,매출채권보험,191000000 
2011,G46721,대구,중소기업, 14 ,매출채권보험,71000000 
2011,G46441,광주,중소기업, 11 ,어음보험,48000000 
2011,C16102,경기,중소기업, 9 ,어음보험,18000000 
2011,C28909,대전,중소기업, 8 ,어음보험,2000000 
2011,G46733,서울,중소기업, 6 ,어음보험,7000000 
2011,G46733,경기,중소기업, 4 ,어음보험,25000000 
2011,G46531,서울,중소기업, 22 ,어음보험,37000000 
2011,G46531,서울,중소기업, 22 ,어음보험,48000000 
2011,G46721,경기,중소기업, 21 ,어음보험,18000000 
2011,C25924,경기,중소기업, 3 ,어음보험,4000000 
2011,C25929,부산,중소기업, 20 ,어음보험,48000000 
2011,C22250,경기,중소기업, 16 ,어음보험,67000000 
2011,G46612,서울,중소기업, 16 ,어음보험,7000000 
2011,G46612,서울,중소기업, 16 ,어음보험,5000000 
2011,C25941,경기,중소기업, 15 ,어음보험,34000000 
2011,C29229,경기,중소기업, 15 ,어음보험,19000000 
2011,C29174,서울,중소기업, 18 ,어음보험,19000000 
2011,G46622,전남,중소기업, 14 ,어음보험,15000000 
2011,G46622,전남,중소기업, 14 ,어음보험,12000000 
2011,G46622,전남,중소기업, 14 ,어음보험,12000000 
2011,C25942,충남,중소기업, 8 ,어음보험,14000000 
2011,C30399,충남,중소기업, 6 ,어음보험,11000000 
2011,G46721,경기,중소기업, 5 ,어음보험,18000000 
2011,C29210,경남,중소기업, 13 ,어음보험,9000000 
2011,G46699,대전,중소기업, 6 ,어음보험,56000000 
2011,C22229,경기,중소기업, 4 ,어음보험,80000000 
2011,C22229,경기,중소기업, 4 ,어음보험,38000000 
2011,C26299,경남,중소기업, 9 ,어음보험,20000000 
2011,M71393,서울,중소기업, 8 ,어음보험,51000000 
2011,M71393,서울,중소기업, 8 ,어음보험,51000000 
2011,C29280,경기,중소기업, 4 ,어음보험,17000000 
2011,C22299,대구,중소기업, 6 ,어음보험,14000000 
2011,G46413,경기,중소기업, 8 ,매출채권보험,10000000 
2011,G46712,경기,중소기업, 40 ,어음보험,14000000 
2011,G46539,서울,중소기업, 18 ,어음보험,7000000 
2011,C26221,인천,중소기업, 16 ,매출채권보험,123000000 
2011,C16102,인천,중소기업, 8 ,어음보험,25000000 
2011,C16102,인천,중소기업, 8 ,어음보험,20000000 
2011,G46733,경기,중소기업, 5 ,어음보험,19000000 
2011,G46733,경기,중소기업, 5 ,어음보험,10000000 
2011,C17210,대구,중소기업, 5 ,어음보험,47000000 
2011,G46329,제주,중소기업, 4 ,어음보험,4000000 
2011,G46329,제주,중소기업, 4 ,어음보험,8000000 
2011,C22240,인천,중소기업, 2 ,어음보험,5000000 
2011,G46741,서울,중소기업, 1 ,매출채권보험,26000000 
2011,G46539,부산,중소기업, 2 ,어음보험,10000000 
2011,G46539,부산,중소기업, 2 ,어음보험,14000000 
2011,C22250,경기,중소기업, 9 ,어음보험,90000000 
2011,G46731,서울,중소기업, 8 ,어음보험,53000000 
2011,G46613,인천,중소기업, 5 ,어음보험,21000000 
2011,G46329,광주,중소기업, 6 ,매출채권보험,1000000 
2011,G46329,광주,중소기업, 6 ,매출채권보험,1000000 
2011,G46621,경기,중소기업, 3 ,어음보험,11000000 
2011,G46621,경기,중소기업, 3 ,어음보험,8000000 
2011,G46621,경기,중소기업, 3 ,어음보험,25000000 
2011,G46491,서울,중소기업, 2 ,매출채권보험,27000000 
2011,G46491,서울,중소기업, 2 ,매출채권보험,8000000 
2011,C29294,인천,중소기업, 2 ,어음보험,35000000 
2011,G46311,부산,중소기업, 8 ,매출채권보험,77000000 
2011,C25113,대구,중소기업, 20 ,어음보험,3000000 
2011,C20499,충남,중소기업, 21 ,어음보험,16000000 
2011,C20499,충남,중소기업, 21 ,어음보험,18000000 
2011,C20499,충남,중소기업, 21 ,어음보험,4000000 
2011,C20499,충남,중소기업, 21 ,어음보험,22000000 
2011,C20499,충남,중소기업, 21 ,어음보험,22000000 
2011,C29133,경기,중소기업, 19 ,매출채권보험,1070000000 
2011,C28410,경기,중소기업, 25 ,어음보험,9000000 
2011,C24191,전남,중소기업, 15 ,어음보험,25000000 
2011,C24191,전남,중소기업, 15 ,어음보험,70000000 
2011,C24191,전남,중소기업, 15 ,어음보험,64000000 
2011,C24191,전남,중소기업, 15 ,어음보험,11000000 
2011,C24191,전남,중소기업, 15 ,어음보험,32000000 
2011,C24191,전남,중소기업, 15 ,어음보험,10000000 
2011,G46712,경북,중소기업, 15 ,어음보험,2000000 
2011,G46712,경북,중소기업, 15 ,어음보험,1000000 
2011,G46712,경북,중소기업, 15 ,어음보험,7000000 
2011,G46712,경북,중소기업, 15 ,어음보험,4000000 
2011,G46611,인천,중소기업, 12 ,어음보험,14000000 
2011,G46611,경기,중소기업, 11 ,매출채권보험,322000000 
2011,C25999,경기,중소기업, 14 ,매출채권보험,380000000 
2011,G46621,경기,중소기업, 10 ,어음보험,56000000 
2011,C28302,경북,중소기업, 11 ,어음보험,17000000 
2011,C32091,대구,중소기업, 7 ,매출채권보험,95000000 
2011,G46699,서울,중소기업, 6 ,어음보험,13000000 
2011,G46699,경기,중소기업, 7 ,어음보험,12000000 
2011,G46699,부산,중소기업, 6 ,어음보험,21000000 
2011,C26299,경북,중소기업, 6 ,매출채권보험,6000000 
2011,G46699,서울,중소기업, 6 ,어음보험,3000000 
2011,G46699,서울,중소기업, 6 ,어음보험,3000000 
2011,C29294,경기,중소기업, 9 ,어음보험,3000000 
2011,C29294,경기,중소기업, 9 ,어음보험,4000000 
2011,C29294,경기,중소기업, 9 ,어음보험,4000000 
2011,C29294,경기,중소기업, 9 ,어음보험,3000000 
2011,C29294,경기,중소기업, 9 ,어음보험,4000000 
2011,C29294,경기,중소기업, 9 ,어음보험,4000000 
2011,G46499,제주,중소기업, 4 ,매출채권보험,3000000 
2011,C17210,충북,중소기업, 7 ,어음보험,7000000 
2011,C17210,충북,중소기업, 7 ,어음보험,8000000 
2011,G46731,경기,중소기업, 6 ,매출채권보험,19000000 
2011,G46594,서울,중소기업, 2 ,매출채권보험,9000000 
2011,G46594,서울,중소기업, 2 ,매출채권보험,1000000 
2011,C22250,광주,중소기업, 7 ,어음보험,2000000 
2011,C22250,광주,중소기업, 7 ,어음보험,4000000 
2011,C30399,경기,중소기업, 5 ,매출채권보험,167000000 
2011,G46612,서울,중소기업, 16 ,어음보험,18000000 
2011,C28112,충북,중소기업, 10 ,어음보험,43000000 
2011,G46510,서울,중소기업, 6 ,매출채권보험,74000000 
