취급종류,구매자_업종,구매자_기업규모,구매자_소재지,계약자_업종,계약자_기업규모,계약자_소재지,인수일자,사고처리일자,사고사유,사고처리금액,사고정상해지금액,보상해지금액,보험금지급액,대위권원금회수금액,대위권발생일자,정상해지일자
매출채권보험,C32021,중소기업,경남,G46699,중소기업,부산,2012-11,2013-12,거래정지처분(예금부족),20000000 ,20000000 ,0 ,0 ,0 ,  , 2013-12 
매출채권보험,C32021,중소기업,경남,G46699,중소기업,부산,2013-07,2013-12,이행지체,150000000 ,11000000 ,139000000 ,138000000 ,0 , 2013-12 , 2014-01 
매출채권보험,C32021,중소기업,경남,C16229,중소기업,경기,2012-09,2013-12,거래정지처분(예금부족),1000000 ,1000000 ,0 ,0 ,0 ,  , 2013-12 
매출채권보험,F42121,중소기업,경기,G46721,중소기업,경기,2011-12,2013-06,회생절차 등,100000000 ,100000000 ,0 ,0 ,0 ,  , 2013-06 
매출채권보험,F42121,중소기업,경기,G46721,중소기업,경기,2012-12,2013-06,회생절차 등,100000000 ,1000000 ,99000000 ,99000000 ,80000000 , 2013-07 , 2013-08 
매출채권보험,F42121,중소기업,경기,G46622,중소기업,경기,2012-05,2013-06,회생절차 등,100000000 ,0 ,100000000 ,100000000 ,30000000 , 2013-07 ,  
매출채권보험,C24199,중소기업,경기,G46721,중소기업,서울,2012-11,2012-12,폐업 · 해산등기,5000000 ,5000000 ,0 ,0 ,0 ,  , 2013-05 
매출채권보험,C18119,중소기업,경기,G46733,중소기업,경기,2012-10,2013-08,이행지체,18000000 ,18000000 ,0 ,0 ,0 ,  , 2013-09 
매출채권보험,C26221,중소기업,경기,G46599,중소기업,경기,2012-03,2012-12,이행지체,77000000 ,0 ,77000000 ,77000000 ,0 , 2013-02 ,  
매출채권보험,G46721,중소기업,경기,G46721,중소기업,충남,2012-03,2013-07,이행지체,80000000 ,0 ,80000000 ,80000000 ,0 , 2013-09 ,  
매출채권보험,G46312,중소기업,서울,G46312,중소기업,서울,2012-10,2013-09,이행지체,7000000 ,0 ,7000000 ,1000000 ,0 , 2013-10 ,  
매출채권보험,G46510,중소기업,서울,G46510,중소기업,서울,2012-11,2013-05,이행지체,30000000 ,30000000 ,0 ,0 ,0 ,  , 2013-06 
매출채권보험,F42132,중소기업,경기,C16101,중소기업,인천,2012-05,2013-01,이행지체,50000000 ,10000000 ,40000000 ,40000000 ,0 , 2013-03 , 2013-12 
매출채권보험,G46510,중소기업,서울,G46510,중소기업,서울,2012-06,2013-04,이행지체,30000000 ,22000000 ,8000000 ,8000000 ,0 , 2013-04 , 2013-04 
매출채권보험,C14191,중소기업,서울,C14300,중소기업,서울,2012-08,2013-11,거래정지처분(예금부족),96000000 ,96000000 ,0 ,0 ,0 ,  , 2013-11 
매출채권보험,C14191,중소기업,서울,C14199,중소기업,서울,2012-09,2013-11,거래정지처분(예금부족),112000000 ,112000000 ,0 ,0 ,0 ,  , 2013-11 
매출채권보험,C14191,중소기업,서울,C14191,중소기업,서울,2012-08,2013-11,이행지체,435000000 ,143000000 ,292000000 ,291000000 ,0 , 2013-12 , 2014-01 
매출채권보험,C14191,중소기업,서울,G46417,중소기업,서울,2011-10,2013-11,거래정지처분(예금부족),10000000 ,10000000 ,0 ,0 ,0 ,  , 2013-12 
매출채권보험,C14191,중소기업,서울,C14191,중소기업,서울,2012-08,2013-11,거래정지처분(예금부족),360000000 ,133000000 ,227000000 ,227000000 ,0 , 2013-12 , 2014-04 
어음보험,G46329,중소기업,제주,G46329,중소기업,제주,2013-01,2013-04,거래정지처분(예금부족),7000000 ,0 ,7000000 ,7000000 ,0 , 2013-04 ,  
매출채권보험,G46329,중소기업,서울,G46329,중소기업,경기,2012-03,2013-03,이행지체,30000000 ,0 ,30000000 ,30000000 ,0 , 2013-05 ,  
매출채권보험,G46621,중소기업,인천,C24199,중소기업,경기,2012-05,2013-02,이행지체,13000000 ,13000000 ,0 ,0 ,0 ,  , 2013-05 
매출채권보험,F42201,중소기업,전남,G46621,중소기업,서울,2012-12,2013-07,거래정지처분(예금부족),100000000 ,0 ,100000000 ,100000000 ,19000000 , 2013-10 ,  
매출채권보험,F42201,중소기업,전남,G46621,중소기업,서울,2012-09,2013-07,이행지체,100000000 ,8000000 ,92000000 ,91000000 ,3000000 , 2013-08 , 2013-11 
매출채권보험,F42201,중소기업,전남,G46621,중소기업,경기,2013-03,2013-07,거래정지처분(예금부족),80000000 ,80000000 ,0 ,0 ,0 ,  , 2013-10 
매출채권보험,F42201,중소기업,전남,C22229,중소기업,경기,2013-05,2013-07,거래정지처분(예금부족),80000000 ,54000000 ,26000000 ,26000000 ,1000000 , 2013-09 , 2013-10 
매출채권보험,F42201,중소기업,전남,C29133,중소기업,인천,2013-04,2013-07,이행지체,80000000 ,66000000 ,14000000 ,14000000 ,0 , 2013-08 , 2013-08 
매출채권보험,F42201,중소기업,전남,G46621,중소기업,인천,2013-05,2013-07,거래정지처분(예금부족),22000000 ,22000000 ,0 ,0 ,0 ,  , 2013-11 
매출채권보험,F42201,중소기업,전남,G46733,중소기업,인천,2013-05,2013-07,거래정지처분(예금부족),80000000 ,80000000 ,0 ,0 ,0 ,  , 2013-09 
매출채권보험,F42201,중소기업,전남,G46699,중소기업,전남,2012-05,2013-07,이행지체,41000000 ,41000000 ,0 ,0 ,0 , 2013-11 , 2013-07 
매출채권보험,F42201,중소기업,전남,G46699,중소기업,전남,2013-05,2013-07,거래정지처분(예금부족),80000000 ,77000000 ,3000000 ,3000000 ,0 , 2013-11 , 2013-07 
매출채권보험,F42201,중소기업,전남,G46721,중소기업,대구,2012-10,2013-07,거래정지처분(예금부족),100000000 ,0 ,100000000 ,100000000 ,3000000 , 2013-10 ,  
매출채권보험,F42201,중소기업,전남,G46622,중소기업,대구,2013-03,2013-07,거래정지처분(예금부족),52000000 ,0 ,52000000 ,52000000 ,2000000 , 2013-08 ,  
